USERNAME;JOB_ID;NODENAME;APPNAME;AVG.FREQ;TIME;CPI;TPI;GBS;GFLOPS_1_proces;DC-NODE-POWER;DRAM-POWER;PCK-POWER;DEF.FREQ;POLICY;POLICY_TH;TOTAL_INST;CORES
NA;59145;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD256;2633100;0.062169;0.471049;0.0;0.0;41.681149;0.000000;17.100329;249.965418;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2250900;0.081093;0.471493;0.0;0.0;31.426357;0.000000;17.092636;197.700979;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2298000;0.081140;0.471725;0.0;0.0;31.340400;1306.384028;16.995666;176.353539;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59145;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2195100;0.081062;0.471210;0.0;0.0;62.724941;0.000000;16.935972;178.302438;2401000;MONITORING_NO_EAR;0.0;320000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;SSE2 DP ADD128;3000900;0.521264;0.472059;0.0;0.0;12.239654;205.270266;16.215039;259.242161;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;SSE2 DP MUL128;3052200;0.528659;0.477822;0.0;0.0;12.096344;0.000000;16.166017;263.323799;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD128;3051900;0.520163;0.470269;0.0;0.0;24.545062;597.889508;16.154023;268.118751;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;AVX DP ADD256;2643000;0.621345;0.472038;0.0;0.0;20.521766;0.000000;16.183778;230.034205;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;AVX DP MUL256;2634900;0.620791;0.471980;0.0;0.0;20.609645;518.693087;16.186079;230.727149;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD256;2667600;0.620893;0.472006;0.0;0.0;41.069264;447.742204;16.206938;237.355511;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2264700;0.735352;0.470380;0.0;0.0;34.749403;0.000000;16.238910;174.789073;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2217600;0.735249;0.470288;0.0;0.0;34.785399;391.704035;16.235394;173.624233;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59186;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2229300;0.735649;0.470438;0.0;0.0;69.487165;314.008447;16.245193;180.640247;2401000;MONITORING_NO_EAR;0.0;3200000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;SSE2 DP ADD128;3002700;0.832406;0.471204;0.0;0.0;12.312596;127.341706;16.242171;259.392192;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;SSE2 DP MUL128;3084000;0.842601;0.474316;0.0;0.0;12.121581;370.282020;16.202928;263.647586;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD128;3048000;0.832103;0.470699;0.0;0.0;24.552059;379.760679;16.188781;268.564502;2401000;MONITORING_NO_EAR;0.0;5120000000;40
